2024-05-10 11:34:33.945 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-05-10 11:34:33.945 [info] Added views:workbench.panel.output in workbench.panel.output
2024-05-10 11:34:33.945 [info] Added views:terminal in terminal
2024-05-10 11:34:33.945 [info] Added views:outline in workbench.view.explorer
2024-05-10 11:34:33.945 [info] Added views:workbench.scm in workbench.view.scm
2024-05-10 11:34:33.945 [info] Added views:workbench.view.search in workbench.view.search
2024-05-10 11:34:33.946 [info] Added views:timeline in workbench.view.explorer
2024-05-10 11:34:33.946 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-05-10 11:34:35.988 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:34:43.024 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-05-10 11:34:52.854 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-05-10 11:35:02.658 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-05-10 11:36:38.538 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2024-05-10 11:36:49.292 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:36:49.387 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:39:45.134 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:39:45.242 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:40:26.162 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:40:26.253 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:41:13.373 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:41:13.469 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:41:42.889 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:41:42.972 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:42:37.271 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:42:37.441 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:42:55.137 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:42:55.233 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:44:09.881 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:44:10.007 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:44:13.838 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:44:14.001 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:47:11.907 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:47:12.024 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:47:26.913 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:47:27.072 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:47:27.903 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:47:28.018 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:48:04.566 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:48:04.748 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:48:05.577 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:48:05.680 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:48:21.049 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:48:21.236 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:50:25.397 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:50:25.567 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:50:33.276 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:50:33.466 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:53:15.123 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:53:15.305 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:53:19.321 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2024-05-10 11:53:19.417 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2024-05-10 11:53:41.832 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2024-05-10 11:53:41.856 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-05-10 11:57:21.292 [info] Removed views:workbench.view.testing from workbench.view.extension.test
